# Ubmax_nK Ubmax_SEU Critical_Omega_R
0.0000 0.0000 2.6200
0.0100 0.0947 2.6200
0.0200 0.1895 2.6200
0.0600 0.5685 2.6200
0.1000 0.9475 2.6200
0.1400 1.3265 2.6200
0.1800 1.7055 2.6200
0.2200 2.0845 2.6200
0.2600 2.4634 2.6200
0.3000 2.8424 2.6200
0.3400 3.2214 2.6200
0.3800 3.6004 2.6200
0.4200 3.9794 2.6200
0.4600 4.3584 2.6200
0.5000 4.7374 2.6200
0.5400 5.1164 2.6200
0.5800 5.4954 2.6200
0.6200 5.8744 2.6200
0.6600 6.2534 2.6200
0.7000 6.6324 2.6200
0.7400 7.0113 2.6200
0.7800 7.3903 2.6200
0.8200 7.7693 2.6200
0.8600 8.1483 2.6200
0.9000 8.5273 2.6200
0.9400 8.9063 2.6200
0.9800 9.2853 2.6200
1.0200 9.6643 2.6200
1.0600 10.0433 2.6200
1.1000 10.4223 2.6200
1.1400 10.8013 2.6200
1.1800 11.1802 2.6200
1.2200 11.5592 2.6200
1.2600 11.9382 2.6200
1.3000 12.3172 2.6200
1.3400 12.6962 2.6200
1.3800 13.0752 2.6200
1.4200 13.4542 2.6200
1.4600 13.8332 2.6200
1.5000 14.2122 2.6200
1.5400 14.5912 2.6200
1.5800 14.9702 2.6200
1.6200 15.3492 2.6200
1.6600 15.7281 2.6200
1.7000 16.1071 2.6200
1.7400 16.4861 2.6200
1.7800 16.8651 2.6200
1.8200 17.2441 2.6200
1.8600 17.6231 2.6200
1.9000 18.0021 2.6200
1.9400 18.3811 2.6200
1.9800 18.7601 2.6200
2.0200 19.1391 2.6200
2.0600 19.5181 2.6200
2.1000 19.8971 2.6200
2.1400 20.2760 2.6200
2.1800 20.6550 2.6200
2.2200 21.0340 2.6200
2.2600 21.4130 2.6200
2.3000 21.7920 2.6200
2.3400 22.1710 2.6200
2.3800 22.5500 2.6200
2.4200 22.9290 2.6200
2.4600 23.3080 2.6200
2.5000 23.6870 2.6200
2.5400 24.0660 2.6200
2.5800 24.4450 2.6200
2.6200 24.8239 2.6200
2.6600 25.2029 2.6200
2.7000 25.5819 2.6200
2.7400 25.9609 2.6200
2.7800 26.3399 2.6200
2.8200 26.7189 2.6200
2.8600 27.0979 2.6200
2.9000 27.4769 2.6200
2.9400 27.8559 2.6200
2.9800 28.2349 2.6200
3.0200 28.6139 2.6200
3.0600 28.9928 2.6200
3.1000 29.3718 2.6200
3.1400 29.7508 2.6200
3.1800 30.1298 2.6200
3.2200 30.5088 2.6200
3.2600 30.8878 2.6200
3.3000 31.2668 2.6200
3.3400 31.6458 2.6200
3.3800 32.0248 2.6200
3.4200 32.4038 2.6200
3.4600 32.7828 2.6200
3.5000 33.1618 2.6200
3.5400 33.5407 2.6200
3.5800 33.9197 2.6200
3.6200 34.2987 2.6200
3.6600 34.6777 2.6200
3.7000 35.0567 2.6200
3.7400 35.4357 2.6200
3.7800 35.8147 2.6200
3.8200 36.1937 2.6200
3.8600 36.5727 2.6200
3.9000 36.9517 2.6200
3.9400 37.3307 2.6200
3.9800 37.7097 2.6100
4.0200 38.0886 2.6100
4.0600 38.4676 2.6100
4.1000 38.8466 2.6100
4.1400 39.2256 2.6100
4.1800 39.6046 2.6100
4.2200 39.9836 2.6100
4.2600 40.3626 2.6100
4.3000 40.7416 2.6100
4.3400 41.1206 2.6100
4.3800 41.4996 2.6100
4.4200 41.8786 2.6100
4.4600 42.2576 2.6100
4.5000 42.6365 2.6100
4.5400 43.0155 2.6100
4.5800 43.3945 2.6100
4.6200 43.7735 2.6000
4.6600 44.1525 2.6000
4.7000 44.5315 2.6000
4.7400 44.9105 2.6000
4.7800 45.2895 2.6000
4.8200 45.6685 2.6000
4.8600 46.0475 2.6000
4.9000 46.4265 2.6000
4.9400 46.8054 2.6000
4.9800 47.1844 2.6000
5.0200 47.5634 2.6000
5.0600 47.9424 2.6000
5.1000 48.3214 2.6000
5.1400 48.7004 2.6000
5.1800 49.0794 2.6000
5.2200 49.4584 2.6000
5.2600 49.8374 2.6000
5.3000 50.2164 2.6000
5.3400 50.5954 2.6000
5.3800 50.9744 2.6000
5.4200 51.3533 2.6000
5.4600 51.7323 2.6000
5.5000 52.1113 2.6000
5.5400 52.4903 2.5900
5.5800 52.8693 2.5900
5.6200 53.2483 2.5900
5.6600 53.6273 2.5900
5.7000 54.0063 2.5900
5.7400 54.3853 2.5900
5.7800 54.7643 2.5900
5.8200 55.1433 2.5900
5.8600 55.5223 2.5900
5.9000 55.9012 2.5900
5.9400 56.2802 2.5900
5.9800 56.6592 2.5900
6.0200 57.0382 2.5900
6.0600 57.4172 2.5900
6.1000 57.7962 2.5900
6.1400 58.1752 2.5900
6.1800 58.5542 2.5900
6.2200 58.9332 2.5900
6.2600 59.3122 2.5900
6.3000 59.6912 2.5900
6.3400 60.0702 2.5900
6.3800 60.4491 2.5900
6.4200 60.8281 2.5900
6.4600 61.2071 2.5900
6.5000 61.5861 2.5900
6.5400 61.9651 2.5900
6.5800 62.3441 2.5900
6.6200 62.7231 2.5900
6.6600 63.1021 2.5900
6.7000 63.4811 2.5900
